iter	Passed	Remaining
655	945	495
656	946	494
657	947	492
658	948	490
659	950	489
660	951	487
661	952	486
662	953	484
663	954	483
664	956	481
665	957	480
666	958	478
667	959	477
668	961	475
669	962	473
670	963	472
671	964	470
672	965	469
673	967	467
674	968	466
675	970	464
676	971	463
677	972	461
678	973	460
679	975	458
680	976	457
681	977	455
682	979	454
683	980	452
684	982	451
685	983	450
686	984	448
687	986	447
688	988	445
689	989	444
690	991	443
691	992	441
692	994	440
693	996	439
694	997	437
695	999	436
696	1001	435
697	1002	433
698	1004	432
699	1005	431
700	1007	429
701	1008	428
702	1010	426
703	1012	425
704	1013	424
705	1015	422
706	1017	421
707	1018	420
708	1020	418
709	1022	417
710	1024	416
711	1026	415
712	1027	413
713	1029	412
714	1031	411
715	1033	409
716	1034	408
717	1036	407
718	1038	405
719	1040	404
720	1041	403
721	1043	401
722	1045	400
723	1046	399
724	1048	397
725	1050	396
726	1052	395
727	1053	393
728	1055	392
729	1057	391
730	1059	389
731	1061	388
732	1063	387
733	1065	386
734	1067	384
735	1070	383
736	1072	382
737	1074	381
738	1076	380
739	1078	378
740	1080	377
741	1082	376
742	1084	375
743	1086	373
744	1088	372
745	1090	371
746	1091	369
747	1094	368
748	1096	367
749	1099	366
750	1101	365
751	1103	363
752	1105	362
753	1107	361
754	1110	360
755	1111	358
756	1113	357
757	1115	356
758	1117	354
759	1119	353
760	1121	352
761	1123	350
762	1124	349
763	1126	347
764	1128	346
765	1129	345
766	1131	343
767	1133	342
768	1134	340
769	1135	339
770	1137	337
771	1138	336
772	1140	334
773	1141	333
774	1142	331
775	1144	330
776	1145	328
777	1147	327
778	1148	325
779	1149	324
780	1150	322
781	1152	321
782	1153	319
783	1155	318
784	1156	316
785	1157	315
786	1159	313
787	1160	312
788	1161	310
789	1163	309
790	1164	307
791	1165	306
792	1166	304
793	1168	303
794	1169	301
795	1170	299
796	1171	298
797	1173	296
798	1174	295
799	1175	293
800	1176	292
801	1178	290
802	1179	289
803	1180	287
804	1181	286
805	1182	284
806	1183	283
807	1184	281
808	1185	279
809	1186	278
810	1187	276
811	1188	275
812	1189	273
813	1190	272
814	1191	270
815	1192	268
816	1193	267
817	1194	265
818	1195	264
819	1196	262
820	1197	261
821	1198	259
822	1199	257
823	1200	256
824	1201	254
825	1202	253
826	1204	251
827	1205	250
828	1206	248
829	1207	247
830	1208	245
831	1210	244
832	1211	242
833	1213	241
834	1214	240
835	1216	238
836	1217	237
837	1219	235
838	1220	234
839	1221	232
840	1222	231
841	1224	229
842	1225	228
843	1226	226
844	1227	225
845	1229	223
846	1230	222
847	1231	220
848	1233	219
849	1234	217
850	1235	216
851	1236	214
852	1237	213
853	1238	211
854	1240	210
855	1241	208
856	1242	207
857	1243	205
858	1245	204
859	1246	202
860	1248	201
861	1249	199
862	1250	198
863	1252	197
864	1253	195
865	1255	194
866	1256	192
867	1257	191
868	1259	189
869	1260	188
870	1261	186
871	1263	185
872	1264	183
873	1265	182
874	1266	180
875	1267	179
876	1268	177
877	1270	176
878	1271	174
879	1272	173
880	1273	172
881	1274	170
882	1276	169
883	1278	167
884	1279	166
885	1280	164
886	1281	163
887	1283	161
888	1284	160
889	1285	158
890	1286	157
891	1287	155
892	1288	154
893	1290	152
894	1291	151
895	1292	149
896	1293	148
897	1294	147
898	1295	145
899	1296	144
900	1297	142
901	1298	141
902	1299	139
903	1301	138
904	1303	136
905	1304	135
906	1305	133
907	1306	132
908	1308	130
909	1309	129
910	1310	128
911	1312	126
912	1313	125
913	1315	123
914	1316	122
915	1317	120
916	1319	119
917	1320	117
918	1321	116
919	1322	115
920	1323	113
921	1325	112
922	1326	110
923	1327	109
924	1328	107
925	1329	106
926	1330	104
927	1332	103
928	1333	101
929	1334	100
930	1335	98
931	1336	97
932	1337	96
933	1339	94
934	1340	93
935	1341	91
936	1342	90
937	1343	88
938	1345	87
939	1346	85
940	1347	84
941	1348	83
942	1350	81
943	1351	80
944	1352	78
945	1353	77
946	1354	75
947	1355	74
948	1356	72
949	1357	71
950	1358	69
951	1359	68
952	1360	67
953	1361	65
954	1362	64
955	1363	62
956	1364	61
957	1365	59
958	1366	58
959	1366	56
960	1367	55
961	1368	54
962	1370	52
963	1370	51
964	1371	49
965	1372	48
966	1373	46
967	1374	45
968	1375	44
969	1376	42
970	1377	41
971	1378	39
972	1379	38
973	1380	36
974	1381	35
975	1382	34
976	1383	32
977	1384	31
978	1385	29
979	1386	28
980	1387	26
981	1388	25
982	1389	24
983	1390	22
984	1391	21
985	1392	19
986	1394	18
987	1395	16
988	1396	15
989	1397	14
990	1398	12
991	1398	11
992	1400	9
993	1400	8
994	1401	7
995	1402	5
996	1403	4
997	1404	2
998	1405	1
999	1406	0
